Date,Title,Amount,Type,Category,Payment Method,Reference,Note,Raw SMS
2026-09-06 19:37,banks-generic transaction,80.00,Expense,Bills & Utilities,Primary Account,,,"Tk 80.0 has been deducted to settle your recent Emergency Loan advances. Current outstanding Tk 0.0. For Details, dial *8#."
2026-09-06 19:37,nagad transaction,130.00,Expense,Mobile Recharge,Nagad,75Y2J60H,,"Mobile Recharge Request Received.
Amount: Tk 130.00
Mobile:01851096720
TxnID: 75Y2J60H
Balance: Tk 0.62
06/09/2026 19:37"
2026-09-06 10:07,banks-generic transaction,40.00,Income,Income,Primary Account,,,"Dear Customer, 1GB, 12Hr @40Tk has been added to your account. Tk 40.0 + Service fee of TK 0.00 will be deducted from your next recharge. Your total outstanding is Tk 80.00. For Details, dial *8#"
2026-09-05 19:14,banks-generic transaction,40.00,Income,Income,Primary Account,,,"Dear Customer, 1GB, 12Hr @40Tk has been added to your account. Tk 40.0 + Service fee of TK 0.00 will be deducted from your next recharge. Your total outstanding is Tk 40.00. For Details, dial *8#"
2026-09-04 08:34,nagad transaction,30.00,Expense,Mobile Recharge,Nagad,75XKWBWG,,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75XKWBWG
Balance: Tk 130.62
04/09/2026 08:33"
2026-08-23 13:17,nagad transaction,30.00,Expense,Mobile Recharge,Nagad,75V8K0XO,,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75V8K0XO
Balance: Tk 210.62
23/08/2026 13:17"
2026-08-14 11:39,nagad transaction,20.00,Expense,Mobile Recharge,Nagad,75TJOYWQ,,"Mobile Recharge Request Received.
Amount: Tk 20.00
Mobile:01851096720
TxnID: 75TJOYWQ
Balance: Tk 240.62
14/08/2026 11:38"
2026-08-11 22:56,nagad transaction,20.00,Expense,Mobile Recharge,Nagad,75T42K3O,,"Mobile Recharge Request Received.
Amount: Tk 20.00
Mobile:01851096720
TxnID: 75T42K3O
Balance: Tk 260.62
11/08/2026 22:56"
2026-08-10 17:04,nagad transaction,50.00,Expense,Mobile Recharge,Nagad,75SUY26K,,"Mobile Recharge Request Received.
Amount: Tk 50.00
Mobile:01851096720
TxnID: 75SUY26K
Balance: Tk 300.62
10/08/2026 17:02"
2026-08-07 11:52,nagad transaction,30.00,Expense,Mobile Recharge,Nagad,75SAELPI,,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75SAELPI
Balance: Tk 350.62
07/08/2026 11:51"
2026-07-31 18:00,nagad transaction,30.00,Expense,Mobile Recharge,Nagad,75R3GVAG,,"Mobile Recharge Request Received.
Amount: Tk 30.00
Mobile:01851096720
TxnID: 75R3GVAG
Balance: Tk 380.62
31/07/2026 17:59"
2026-07-26 17:23,nagad transaction,50.00,Expense,Mobile Recharge,Nagad,75Q9U2DW,,"Mobile Recharge Request Received.
Amount: Tk 50.00
Mobile:01851096720
TxnID: 75Q9U2DW
Balance: Tk 5870.62
26/07/2026 17:23"
2026-07-09 20:53,Bank,2100.00,Income,Income,Nagad,75NA7YH3,,"Add Money from Bank is Successful.
From: Eastern Bank PLC.
Amount: Tk 2100.0
TxnID: 75NA7YH3
Balance: Tk 6100.62
09/07/2026 20:53"
2026-07-05 14:08,nagad transaction,120.00,Expense,Mobile Recharge,Nagad,75MGSGN6,,"Mobile Recharge Request Received.
Amount: Tk 120.00
Mobile:01851096720
TxnID: 75MGSGN6
Balance: Tk 4000.62
05/07/2026 14:08"
2026-06-24 17:38,banks-generic transaction,35.78,Expense,Bills & Utilities,Primary Account,,,"Tk 35.78 has been deducted to settle your recent Emergency Loan advances. Current outstanding Tk 0.0. For Details, dial *8#."
2026-06-24 17:38,nagad transaction,50.00,Expense,Mobile Recharge,Nagad,75KAMSVC,,"Mobile Recharge Request Received.
Amount: Tk 50.00
Mobile:01851096720
TxnID: 75KAMSVC
Balance: Tk 4170.62
24/06/2026 17:38"
2026-06-20 17:55,banks-generic transaction,25.00,Income,Income,Primary Account,,,"Dear Customer, 25Min, 24Hr @25Tk has been added to your account. Tk 25.0 + Service fee of TK 0.00 will be deducted from your next recharge. Your total outstanding is Tk 35.78. For Details, dial *8#"
