Date,Title,Amount,Type,Category,Payment Method,Reference,Note,Raw SMS
2026-09-08 03:00,ebl transaction,300.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 300 as EBL Skybanking MFS Transfer-bKash on 08-SEP-26 02:59:58 AM Balance is BDT 15318.5 Thanks. EBL Helpline 16230
2026-09-06 23:48,ebl transaction,1020.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 1020 as EBL Skybanking MFS Transfer-bKash on 06-SEP-26 11:48:01 PM Balance is BDT 15618.5 Thanks. EBL Helpline 16230
2026-09-05 14:09,ebl transaction,500.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 500 as EBL Skybanking MFS Transfer-bKash on 05-SEP-26 02:09:03 PM Balance is BDT 19638.5 Thanks. EBL Helpline 16230
2026-09-03 20:38,ebl transaction,19986.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 19986 as AC TRANSFER THROUGH EBL CONNECT on 03-SEP-26 08:37:43 PM Balance is BDT 20138.5 Thanks. EBL Helpline 16230
2026-08-30 21:56,ebl transaction,120.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 120 as EBL Skybanking MFS Transfer-bKash on 30-AUG-26 09:56:04 PM Balance is BDT 152.5 Thanks. EBL Helpline 16230
2026-08-28 18:09,ebl transaction,310.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 310 as EBL Skybanking MFS Transfer-bKash on 28-AUG-26 06:09:19 PM Balance is BDT 272.5 Thanks. EBL Helpline 16230
2026-08-25 19:22,Cash In (01927780300),1700.00,Income,Income,Nagad,75VOFS7R,Agent: 01927780300,"Cash In Received.
Amount: Tk 1700.00
Uddokta: 01927780300
TxnID: 75VOFS7R
Balance: 1729.92
25/08/2026 19:22"
2026-08-22 00:14,Cash In (01632087710),5100.00,Income,Income,Nagad,75UYNBTE,Agent: 01632087710,"Cash In Received.
Amount: Tk 5100.00
Uddokta: 01632087710
TxnID: 75UYNBTE
Balance: 5114.92
22/08/2026 00:14"
2026-08-21 23:58,Cash In (01727485414),5100.00,Income,Income,Nagad,75UYJYZP,Agent: 01727485414,"Cash In Received.
Amount: Tk 5100.00
Uddokta: 01727485414
TxnID: 75UYJYZP
Balance: 5119.92
21/08/2026 23:58"
2026-08-20 22:29,Robi,55.00,Expense,Mobile Recharge,bKash,DHK6N7HYX2,,Payment of Tk 55.00 is being reserved for ROBI AXIATA LIMITED-RM9564. Balance Tk 10.32. TrxID DHK6N7HYX2 at 20/08/2026 22:29
2026-08-17 15:53,Received from Eastern Bank PLC,2040.00,Income,Income,Nagad,75U47SC8,,"Add Money from Bank is Successful.
From: Eastern Bank PLC.
Amount: Tk 2040.0
TxnID: 75U47SC8
Balance: Tk 3789.41
17/08/2026 15:53"
2026-08-17 00:33,Cash In (01812428727),25000.00,Income,Income,Nagad,75U1527L,Agent: 01812428727,"Cash In Received.
Amount: Tk 25000.00
Uddokta: 01812428727
TxnID: 75U1527L
Balance: 26961.91
17/08/2026 00:32"
2026-08-17 00:13,Cash In (01840902857),25000.00,Income,Income,Nagad,75U1212P,Agent: 01840902857,"Cash In Received.
Amount: Tk 25000.00
Uddokta: 01840902857
TxnID: 75U1212P
Balance: 27174.41
17/08/2026 00:13"
2026-08-16 23:49,Received from 01837834083,2030.00,Income,Income,Nagad,75U0XOMA,Sender: 01837834083,"Money Received.
Amount: Tk 2030.00
Sender: 01837834083
Ref: N/A
TxnID: 75U0XOMA
Balance: Tk 2174.41
16/08/2026 23:49"
2026-08-16 21:53,ebl transaction,1500.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 1500 as EBL Skybanking MFS Transfer-Nagad on 16-AUG-26 09:53:15 PM Balance is BDT 1597.5 Thanks. EBL Helpline 16230
2026-08-16 10:58,ebl transaction,2500.00,Income,Transfers,Eastern Bank,,,AC 109***386 is credited with BDT 2500 as NPSB FUND TRANSFER on 16-AUG-26 10:57:41 AM Balance is BDT 4612.5 Thanks. EBL Helpline 16230
2026-08-16 03:14,Cash In (01629057371),25000.00,Income,Income,Nagad,75TV067X,Agent: 01629057371,"Cash In Received.
Amount: Tk 25000.00
Uddokta: 01629057371
TxnID: 75TV067X
Balance: 27878.16
16/08/2026 03:14"
2026-08-16 02:46,Cash In (01629057371),25000.00,Income,Income,Nagad,75TUYBNS,Agent: 01629057371,"Cash In Received.
Amount: Tk 25000.00
Uddokta: 01629057371
TxnID: 75TUYBNS
Balance: 25383.16
16/08/2026 02:46"
2026-08-15 18:23,ebl transaction,1710.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 1710 as AC TRANSFER THROUGH EBL CONNECT on 15-AUG-26 06:22:47 PM Balance is BDT 2112.5 Thanks. EBL Helpline 16230
2026-08-14 19:25,Received from Nagad 0131XXX4677 through NPSB,100.00,Income,Income,bKash,DHE8GA7YDI,,"You have received Tk 100.00 from Nagad  0131XXX4677 through NPSB. Fee Tk 0.00.
Balance Tk 175.32. TrxID DHE8GA7YDI at 14/08/2026 19:25."
2026-08-14 19:24,Received from 01865057950,98.00,Income,Income,Nagad,75TLZ66O,Sender: 01865057950,"Money Received.
Amount: Tk 98.00
Sender: 01865057950
Ref: N/A
TxnID: 75TLZ66O
Balance: Tk 484.01
14/08/2026 19:24"
2026-08-14 12:29,ebl transaction,3000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 3000 as EBL Skybanking MFS Transfer-bKash on 14-AUG-26 12:29:07 PM Balance is BDT 402.5 Thanks. EBL Helpline 16230
2026-08-14 12:28,Received from iBanking of,3000.00,Income,Income,bKash,DHE2FWCLSO,,"You have received deposit from iBanking of Tk 3,000.00 from Eastern Bank PLC. Internet Banking. Fee Tk 0.00. Balance Tk 3,640.07. TrxID DHE2FWCLSO at 14/08/2026 12:28"
2026-08-13 12:19,Received from 01403206154,310.00,Income,Income,bKash,DHD3EPV3Y1,,You have received Tk 310.00 from 01403206154. Fee Tk 0.00. Balance Tk 775.07. TrxID DHD3EPV3Y1 at 13/08/2026 12:19
2026-08-12 18:26,ebl transaction,8000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 8000 as EBL Skybanking MFS Transfer-bKash on 12-AUG-26 06:25:40 PM Balance is BDT 3402.5 Thanks. EBL Helpline 16230
2026-08-11 18:57,ebl transaction,5100.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 5100 as EBL Skybanking MFS Transfer-bKash on 11-AUG-26 06:57:23 PM Balance is BDT 11402.5 Thanks. EBL Helpline 16230
2026-08-10 23:35,Received from 01837834083,1500.00,Income,Income,Nagad,75SXTOWO,Sender: 01837834083,"Money Received.
Amount: Tk 1500.00
Sender: 01837834083
Ref: N/A
TxnID: 75SXTOWO
Balance: Tk 1507.51
10/08/2026 23:35"
2026-08-10 21:35,ebl transaction,2000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 2000 as EBL Skybanking MFS Transfer-bKash on 10-AUG-26 09:35:27 PM Balance is BDT 16502.5 Thanks. EBL Helpline 16230
2026-08-09 13:20,Foodpanda,356.50,Expense,Food & Dining,bKash,DH969XGH2O,,Payment of Tk 356.50 to FOODPANDA BANGLADESH LIMITED is successful. Balance Tk 670.07. TrxID DH969XGH2O at 09/08/2026 13:20
2026-08-09 00:54,ebl transaction,1000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 1000 as EBL Skybanking MFS Transfer-bKash on 09-AUG-26 12:54:16 AM Balance is BDT 18502.5 Thanks. EBL Helpline 16230
2026-08-08 16:19,ebl transaction,500.00,Expense,Mobile Recharge,Eastern Bank,,,AC 109***386 is debited with BDT 500 as EBL Skybanking Mobile Recharge on 08-AUG-26 04:19:30 PM Balance is BDT 19502.5 Thanks. EBL Helpline 16230
2026-08-08 16:11,ebl transaction,19986.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 19986 as AC TRANSFER THROUGH EBL CONNECT on 08-AUG-26 04:11:16 PM Balance is BDT 20002.5 Thanks. EBL Helpline 16230
2026-08-06 23:07,Received from 01837834083,1000.00,Income,Income,bKash,DH6777BRN7,,"You have received Tk 1,000.00 from 01837834083. Fee Tk 0.00. Balance Tk 1,026.57. TrxID DH6777BRN7 at 06/08/2026 23:07"
2026-08-02 12:10,ebl transaction,600.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 600 as EBL Skybanking MFS Transfer-bKash on 02-AUG-26 12:10:25 PM Balance is BDT 16.5 Thanks. EBL Helpline 16230
2026-08-02 12:10,Received from iBanking of,600.00,Income,Income,bKash,DH241L0M1O,,"You have received deposit from iBanking of Tk 600.00 from Eastern Bank PLC. Internet Banking. Fee Tk 0.00. Balance Tk 1,045.07. TrxID DH241L0M1O at 02/08/2026 12:10"
2026-07-28 15:41,Received from 01782779483,500.00,Income,Income,bKash,DGS9T1I1EB,,You have received Tk 500.00 from 01782779483. Fee Tk 0.00. Balance Tk 580.07. TrxID DGS9T1I1EB at 28/07/2026 15:41
2026-07-26 13:04,Received from 01837834083,458.32,Income,Income,bKash,DGQ1QHAAML,,You have received Tk 458.32 from 01837834083. Fee Tk 0.00. Balance Tk 705.07. TrxID DGQ1QHAAML at 26/07/2026 13:04
2026-07-24 22:39,ebl transaction,2000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 2000 as EBL Skybanking MFS Transfer-bKash on 24-JUL-26 10:39:04 PM Balance is BDT 616.5 Thanks. EBL Helpline 16230
2026-07-17 20:38,Cash In (01338141115),720.00,Income,Income,Nagad,75ORK1J9,Agent: 01338141115,"Cash In Received.
Amount: Tk 720.00
Uddokta: 01338141115
TxnID: 75ORK1J9
Balance: 2262.51
17/07/2026 20:38"
2026-07-16 12:36,ebl transaction,2386.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 2386 as AC TRANSFER THROUGH EBL CONNECT on 16-JUL-26 12:35:51 PM Balance is BDT 2616.5 Thanks. EBL Helpline 16230
2026-07-13 15:30,Received from 01403206154,1000.00,Income,Income,bKash,DGD2C3CI0C,,"You have received Tk 1,000.00 from 01403206154. Fee Tk 0.00. Balance Tk 1,251.75. TrxID DGD2C3CI0C at 13/07/2026 15:30"
2026-07-11 23:27,Robi,90.00,Expense,Mobile Recharge,bKash,DGB9AFWW5Z,,Payment of Tk 90.00 is being reserved for ROBI AXIATA LIMITED-RM9564. Balance Tk 251.75. TrxID DGB9AFWW5Z at 11/07/2026 23:27
2026-07-09 20:23,Robi,90.00,Expense,Mobile Recharge,bKash,DG9481PLLI,,Payment of Tk 90.00 is being reserved for ROBI AXIATA LIMITED-RM9564. Balance Tk 341.75. TrxID DG9481PLLI at 09/07/2026 20:23
2026-07-07 21:48,Robi,119.00,Expense,Mobile Recharge,bKash,DG725X9NNE,,Payment of Tk 119.00 is being reserved for ROBI AXIATA LIMITED-RM9564. Balance Tk 431.75. TrxID DG725X9NNE at 07/07/2026 21:48
2026-07-04 17:30,ebl transaction,5000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 5000 as EBL Skybanking MFS Transfer-bKash on 04-JUL-26 05:29:54 PM Balance is BDT 12230.5 Thanks. EBL Helpline 16230
2026-07-04 02:02,ebl transaction,2000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 2000 as EBL Skybanking MFS Transfer-bKash on 04-JUL-26 02:02:31 AM Balance is BDT 17230.5 Thanks. EBL Helpline 16230
2026-07-03 19:34,Cash In (01704027801),9500.00,Income,Income,Nagad,75M6EKE4,Agent: 01704027801,"Cash In Received.
Amount: Tk 9500.00
Uddokta: 01704027801
TxnID: 75M6EKE4
Balance: 17022.51
03/07/2026 19:34"
2026-07-03 14:06,Cash In (01704027801),7500.00,Income,Income,Nagad,75M4E4SY,Agent: 01704027801,"Cash In Received.
Amount: Tk 7500.00
Uddokta: 01704027801
TxnID: 75M4E4SY
Balance: 7522.51
03/07/2026 14:06"
2026-07-02 23:35,ebl transaction,19020.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 19020 as AC TRANSFER THROUGH EBL CONNECT on 02-JUL-26 11:35:34 PM Balance is BDT 19230.5 Thanks. EBL Helpline 16230
2026-07-02 19:11,Received from 01834671033,510.00,Income,Income,bKash,DG2102AUHH,,You have received Tk 510.00 from 01834671033. Fee Tk 0.00. Balance Tk 550.75. TrxID DG2102AUHH at 02/07/2026 19:11
2026-07-02 11:38,ebl transaction,49000.00,Expense,Cash Withdrawal,Eastern Bank,,,AC 109***386 is debited with BDT 49000 as Cash Withdrawal through Agent Banking on 02-JUL-26 11:37:44 AM Balance is BDT 210.5 Thanks. EBL Helpline 16230
2026-07-02 09:55,ebl transaction,49000.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 49000 as EBL Account Transfer on 02-JUL-26 09:55:41 AM Balance is BDT 49210.5 Thanks. EBL Helpline 16230
2026-06-30 19:31,ebl transaction,200.00,Expense,Mobile Recharge,Eastern Bank,,,AC 109***386 is debited with BDT 200 as EBL Skybanking Mobile Recharge on 30-JUN-26 07:30:42 PM Balance is BDT 210.5 Thanks. EBL Helpline 16230
2026-06-28 17:57,ebl transaction,100000.00,Transfer,Transfers,Eastern Bank,,,EBL CARDS: NPSB Fund Transfer BDT 100000 using Card 452017**1549 on 28-Jun-26 05:57:48 PM.Your A/C 109**0386 Balance BDT 410.5. Thank You. EBL Helpline 16230
2026-06-28 17:52,ebl transaction,100000.00,Transfer,Transfers,Eastern Bank,,,EBL CARDS: NPSB Fund Transfer BDT 100000 using Card 452017**1549 on 28-Jun-26 05:52:24 PM.Your A/C 109**0386 Balance BDT 100410.5. Thank You. EBL Helpline 16230
2026-06-28 17:50,ebl transaction,200000.00,Income,Income,Eastern Bank,,,AC 109***386 is credited with BDT 200000 as EBL Account Transfer on 28-JUN-26 05:49:54 PM Balance is BDT 200410.5 Thanks. EBL Helpline 16230
2026-06-28 16:46,ebl transaction,1000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 1000 as EBL Skybanking MFS Transfer-bKash on 28-JUN-26 04:45:59 PM Balance is BDT 410.5 Thanks. EBL Helpline 16230
2026-06-27 12:40,ebl transaction,1000.00,Expense,Other,Eastern Bank,,,AC 109***386 is debited with BDT 1000 as EBL Skybanking MFS Transfer-bKash on 27-JUN-26 12:40:38 PM Balance is BDT 1410.5 Thanks. EBL Helpline 16230
